gl,bf,proper,dist,absmag,x,y,z
Gl 566A,37Xi  Boo,,6.7123,5.406,-4.650321,-4.313397,2.196442
Gl 643,,,6.715,12.595,-1.847524,-6.382123,-0.971952
Gl 299,,,6.7568,13.681,-3.634963,5.599567,1.030592
Gl 402,,,6.7604,12.49,-6.409634,1.9943,0.801412
NN 4285,,,6.8027,12.287,2.609768,-0.975622,-6.205965
,,,6.8101,12.224,-0.818464,-6.134956,2.840756
Gl 667A,,,6.8357,6.736,-0.997648,-5.510603,-3.919803
Gl 880,,,6.8451,9.503,6.31155,-1.792532,1.950162
Gl 293,,,6.9109,14.882,-1.238902,2.29964,-6.398229
Gl 667B,,,6.9711,7.983,-1.017406,-5.619572,-3.99778
Gl 667C,,,6.9711,11.023,-1.016894,-5.61931,-3.998244
Gl 809,,,7.0487,9.309,2.259284,-2.394775,6.232392
Gl 393,,,7.0671,10.404,-6.515769,2.734767,0.10373
Gl 105A,,268 G. Cet,7.1803,6.509,5.538462,4.488223,0.861013
NN 3737,,,7.1942,13.455,-5.559306,-0.950686,-4.466188
Gl 105B,,,7.2088,12.371,5.55796,4.511171,0.862659
GJ 1286,,,7.215,15.399,7.16648,-0.779258,-0.300922
NN 4053,,,7.2833,14.168,0.242972,-2.929993,6.663525
GJ 1230A,,,7.3529,13.068,1.192254,-6.568303,3.082378
GJ 1230B,,,7.3529,14.668,1.192237,-6.568216,3.082572
NN 3991,,,7.4455,12.411,-1.176301,-5.254468,5.142212
Gl 33,,96 G. Psc,7.4549,6.378,7.258368,1.555495,0.686093
NN 4274,,,7.4571,13.887,6.481995,-2.916125,-2.255726
Gl 19,Bet Hyi,,7.4588,3.457,1.635267,0.184517,-7.275205
Gl 109,,,7.5098,11.172,5.109768,4.451981,3.235931
,,,7.5284,9.126,-6.960892,-1.67045,-2.330747
GJ 2005,,,7.5301,16.036,6.651693,0.719714,-3.430758
Gl 68,107    Psc,,7.5324,5.855,6.370804,3.055661,2.60927
GJ 1224,,,7.5358,14.244,0.238537,-7.241188,-2.072822
Gl 53B,,,7.5529,11.609,4.149624,1.273905,6.180949
Gl 53A,30Mu  Cas,,7.554,5.779,4.149699,1.274102,6.181126
NN 3378,,,7.5643,12.316,-0.019372,3.827631,6.524377
Gl 879,,,7.6092,7.073,6.235383,-1.77617,-3.98326
NN 3193B,,,7.6336,12.386,5.131438,5.21439,-2.179524
Gl 514,,,7.6558,9.63,-6.957507,-2.881767,1.37904
Gl 721,3Alp Lyr,Vega,7.6787,0.604,0.960565,-5.908009,4.809731
Gl 673,,,7.7006,8.107,-1.145591,-7.609413,0.283705
Gl 881,24Alp PsA,Fomalhaut,7.7036,1.737,6.450517,-1.799476,-3.807757
NN 3417,,,7.7519,14.203,-0.900784,3.485855,6.865082
GJ 1093,,,7.758,15.381,-1.878261,7.074699,2.570473
Gl 701,,,7.7586,9.921,0.173292,-7.746096,-0.410305
Gl 480.1,,,7.7809,12.785,-5.548597,-0.997637,-5.362282
Gl 915,,,7.8003,13.589,5.689088,0.054021,-5.336296
Gl 66B,,,7.8223,6.293,3.945945,1.835674,-6.500103
Gl 382,,,7.8691,9.78,-7.001078,3.555904,-0.514073
NN 3789,,,7.9365,12.452,-6.375287,-2.698711,3.880812
GJ 1087,,,7.9936,14.586,0.124237,7.957618,0.747341
Gl 793,,,7.9955,11.026,2.028515,-2.630896,7.272756
Gl 257A,,,8.0096,11.292,-1.430089,5.55205,-5.593146
Gl 831B,,,8.0115,15.381,6.290861,-4.770042,-1.362317
Gl 257B,,,8.0244,12.178,-1.432637,5.562374,-5.60344
