gl,bf,proper,dist,absmag,x,y,z
Gl 282B,,,14.1965,8.179,-5.990527,12.838979,-0.891832
Gl 532,,,14.2045,8.058,-8.069732,-4.290756,10.873144
Gl 282A,,,14.2106,6.417,-5.993117,12.853921,-0.891662
Gl 111,1Tau1Eri,,14.2207,3.705,10.131041,8.892749,-4.529443
Gl 127A,Alp For,,14.2369,3.033,8.329775,9.25728,-6.899408
NN 3655,,,14.245,18.802,-13.677072,2.299785,-3.257674
Gl 589A,,,14.245,11.642,-8.006574,-10.953242,4.333403
Gl 589B,,,14.245,14.222,-8.007815,-10.954941,4.334075
Gl 421B,,,14.2633,9.199,-13.297719,2.624087,-4.441978
,,,14.2633,6.749,-3.600231,-10.49304,-8.965276
Gl 807,3Eta Cep,,14.2653,2.639,4.44524,-5.055924,12.575933
NN 3211,,,14.2653,10.129,9.435625,10.697717,0.16312
Gl 168.1,,,14.2653,14.269,5.568165,12.241568,4.757976
Gl 726,,,14.2776,8.037,2.92932,-13.944585,-0.906412
NN 3846,,,14.2796,11.456,-11.379876,-8.338961,2.206154
NN 3136,,,14.2857,11.695,7.856824,4.952006,10.854915
NN 3237,,,14.2857,13.085,8.346749,11.560952,0.870279
NN 3467,,,14.2857,12.995,-6.986042,12.328612,1.811564
NN 3729,,,14.2857,12.125,-10.575662,-1.347627,9.50897
NN 3943,,,14.2857,12.975,-2.179455,-4.331315,-13.437668
Gl 529,,,14.3,7.383,-11.757882,-6.104264,-5.382448
NN 3148A,,,14.3246,11.24,10.160024,6.897399,-7.375226
Gl 501B,42Alp Com,,14.3246,4.39,-13.026264,-4.106054,4.313973
Gl 672,72    Her,,14.3266,4.599,-2.064569,-11.909033,7.690492
Gl 546,,,14.3472,7.776,-10.154189,-7.239812,7.092966
Gl 311,3Pi 1UMa,,14.3554,4.845,-3.880282,4.657464,13.012521
Gl 611B,,,14.3658,13.443,-5.364796,-9.762361,9.071466
Gl 480,,,14.3699,10.703,-13.869551,-2.375376,2.913084
Gl 796,,,14.3823,5.571,8.468665,-10.075057,-5.797743
Gl 816,,,14.3823,10.441,10.194874,-10.020454,-1.58291
Gl 130.1A,,,14.3864,9.74,4.972459,5.731781,12.222746
Gl 202,111    Tau,,14.3864,4.21,2.122676,13.564563,4.298277
,,,14.3968,10.549,-6.147626,-12.156552,-4.657551
Gl 794,,,14.4092,10.727,8.143568,-10.204518,6.10572
Gl 763,,,14.4259,8.554,5.771903,-13.16999,1.152512
Gl 363,,,14.43,11.704,-6.660402,4.560523,11.961003
NN 3093A,,,14.4509,13.171,13.51852,5.104909,0.13434
NN 3094B,,,14.4509,14.201,13.51852,5.104909,0.13434
NN 4026,,,14.4509,11.871,-0.796246,-13.109941,6.026936
Gl 714,,,14.4509,9.051,0.998356,-7.532662,-12.291695
NN 3892,,,14.453,10.66,-9.768264,-10.622276,0.798432
GJ 1171,,,14.4718,13.927,-12.617921,-5.259969,4.749084
Gl 712,,,14.4718,11.777,1.385039,-14.314009,1.597747
NN 3438,,,14.4907,9.495,-3.750777,10.57187,9.173201
GJ 1177A,,,14.4907,7.325,-10.904945,-5.538541,-7.770915
NN 3614,,,14.4928,15.654,-12.719236,4.696902,-5.118732
GJ 1157,,,14.4928,12.814,-9.904109,-0.999035,-10.536322
GJ 1177B,,,14.4928,8.314,-10.906067,-5.539571,-7.772522
NN 3866,,,14.4928,15.674,-10.2838,-9.211754,-4.407754
NN 3893,,,14.4928,12.544,-9.23455,-10.084104,4.803665
Gl 630.1A,,,14.4928,12.094,-2.869043,-7.313399,12.17162
Gl 630.1B,,,14.4928,14.194,-2.868675,-7.315549,12.177632
NN 3997,,,14.4928,9.554,-2.62387,-13.449755,4.718116
Gl 123,,,14.5054,8.262,9.958335,10.534844,0.497411
Gl 331A,9Iot UMa,,14.5096,2.312,-6.835882,6.883318,10.789878
Gl 611A,,,14.5201,5.85,-5.417667,-9.869644,9.168246
Gl 549A,23The Boo,,14.5307,3.229,-7.233871,-5.313642,11.426925
Gl 875.1,,,14.5391,10.847,11.820871,-3.620079,7.651569
Gl 326A,,,14.556,11.705,-9.762143,10.278856,-3.304967
Gl 326B,,,14.556,11.985,-9.762143,10.278856,-3.304967
Gl 334,,,14.5582,8.684,-10.468481,9.868812,-2.228966
,,,14.5582,11.654,-8.838383,-11.432415,-1.767498
Gl 549B,,,14.5709,10.683,-7.25717,-5.330217,11.45498
NN 4203A,,,14.5773,12.532,11.705144,-8.676479,0.453888
NN 4204B,,,14.5773,13.682,11.705144,-8.676479,0.453888
Gl 281,,,14.5815,8.841,-6.122453,13.222316,0.555601
,,,14.5836,9.881,0.242947,13.008355,-6.588253
,,,14.59,9.13,-7.054428,8.392324,9.626632
Gl 269A,,,14.5943,5.879,-3.303102,9.393701,-10.670375
Gl 781.1B,,,14.6007,11.678,6.567789,-10.535628,-7.684085
Gl 116,,,14.6049,8.778,8.809932,8.223946,8.248817
,,,14.6071,8.907,-0.403523,14.345151,2.724181
Gl 833,,,14.6199,6.315,7.48459,-5.403649,-11.337122
Gl 838.6,,,14.6349,11.163,8.528789,-5.187865,-10.702409
Gl 331B,,,14.637,9.973,-6.896425,6.943415,10.885428
Gl 331C,,,14.637,10.173,-6.896063,6.94305,10.884857
,,,14.6434,9.662,-0.745891,-12.381817,-7.78225
Gl 420A,,,14.6456,6.851,-4.086332,0.809146,14.040758
Gl 259,,,14.6477,5.881,-3.477108,12.703851,-6.409393
Gl 596.1A,23Psi Ser,,14.6585,5.03,-8.187523,-12.141967,0.643281
NN 3252,,,14.6628,17.189,7.823561,12.399159,-0.22461
GJ 1099,,,14.6628,11.099,-5.863499,13.437015,0.252394
Gl 613,,,14.6692,6.278,-3.753024,-7.18752,-12.224964
Gl 596.1B,,,14.6714,11.168,-8.194576,-12.152574,0.643307
Gl 805,16Psi Cap,,14.6778,3.297,8.799322,-9.937473,-6.266031
Gl 420B,,,14.6778,10.567,-4.095369,0.810378,14.072027
NN 3305,,,14.7059,9.753,5.167235,13.753344,-0.639303
NN 3649,,,14.7059,9.933,-13.61425,2.854701,4.771412
NN 3775,,,14.7059,12.133,-13.851312,-4.906725,0.573329
NN 3809A,,,14.7059,10.353,-13.057987,-6.726043,0.716113
NN 3894,,,14.7059,13.423,-9.690432,-10.748226,-2.61432
NN 4228,,,14.7059,13.093,12.115182,-7.58424,3.459069
Gl 233A,,,14.7297,5.939,-1.589214,13.856519,4.736364
Gl 604,,,14.7319,7.219,-5.514853,-9.332453,-9.976471
Gl 154,,,14.7493,8.766,7.287317,11.045047,6.515626
Gl 289,,,14.7732,10.613,-6.302434,12.33287,5.141973
Gl 269B,,,14.7732,7.053,-3.343222,9.508888,-10.800525
Gl 231.3,,,14.7929,12.21,-1.238692,14.64088,-1.714691
NN 3770,,,14.7929,16.2,-9.497656,-3.128759,-10.901162
Gl 521.1,,,14.7973,8.759,-13.371935,-6.24388,-1.080151
Wo 9724,,,14.8038,11.128,7.959631,-7.177825,-10.211543
Gl 582,Nu 2Lup,,14.8126,4.797,-6.271902,-7.595081,-11.06222
NN 4338B,,,14.8148,11.587,11.001755,-1.479341,9.810771
Gl 514.1,,,14.8368,13.393,-13.548315,-5.614946,-2.246377
Gl 791,,,14.8412,10.553,7.890496,-10.500156,-6.909686
Gl 738A,,,14.8721,4.338,3.074982,-12.101832,8.0782
Gl 225,16Eta Lep,,14.8787,2.847,0.226289,14.424355,-3.64172
Gl 483,,,14.881,6.147,-9.039804,-1.767085,11.687872
NN 4029,,,14.881,19.237,-0.599918,-13.716844,5.738679
GJ 1228,,,14.881,14.637,1.132589,-8.505061,12.158345
NN 4337A,,,14.881,11.007,11.050456,-1.485069,9.855261
Gl 681,55Alp Oph,Rasalhague,14.8965,1.215,-1.587067,-14.453242,3.239454
GJ 1096,,,14.9031,13.614,-4.077299,11.791939,8.15035
GJ 2128,,,14.9076,10.623,-2.773224,-14.497538,2.089781
Gl 781.1A,,,14.9076,11.323,6.705597,-10.757328,-7.845469
NN 3097,,,14.9254,12.26,13.695193,5.367509,2.529644
NN 3117A,,,14.9254,10.5,5.688831,3.019458,13.46346
NN 3118B,,,14.9254,13.63,5.689817,3.019976,13.463777
NN 3208,,,14.9254,15.9,8.6682,9.81443,7.16288
NN 3256,,,14.9254,10.35,7.675213,12.578295,-2.375961
NN 3856,,,14.9254,12.74,-11.298319,-8.841002,4.11731
NN 4109,,,14.9254,11.61,4.768335,-12.238717,7.088325
NN 4276,,,14.9254,12.04,6.955262,-3.050273,12.848647
NN 4352,,,14.9254,10.47,14.264856,-1.365336,-4.173405
Gl 258,,,14.9298,11.08,-1.532346,5.306124,13.870685
Gl 52,,,14.9321,8.129,6.280112,1.894184,13.414196
Gl 319B,,,14.9343,10.959,-9.607013,11.162238,2.47852
Gl 455.3,1Alp Crv,,14.9365,3.149,-13.557668,-0.497944,-6.248321
Wo 9773,,,14.9611,11.115,13.199692,-6.682168,2.225142
Gl 225.2B,,,14.9656,8.225,-0.018552,12.824058,-7.714427
Gl 225.2C,,,14.9656,7.425,-0.018559,12.828658,-7.717196
Gl 738B,,,14.979,6.823,3.09699,-12.189266,8.136394
GJ 1279,,,14.9835,7.412,5.541349,-1.236543,-13.866135
NN 3181,,,14.9925,15.981,10.74547,9.555065,4.237752
Gl 163,,,14.9948,10.91,4.156435,7.921972,-12.034456
Gl 14,,,15.0038,8.109,11.300858,0.845066,9.833173
,,,15.0105,11.478,6.010741,4.94958,-12.833073
Gl 364,,,15.0128,4.048,-11.318572,7.76158,-6.086167
Gl 218,,,15.0286,9.835,0.650756,12.09044,-8.903463
Gl 826,5Alp Cep,Alderamin,15.0376,1.564,5.276111,-4.483201,13.348778
NN 3965,,,15.0376,13.934,-3.966286,-10.201213,10.311802
Gl 376,20    LMi,,15.0466,4.483,-11.088308,6.336788,7.956742
Gl 818,,,15.058,7.381,10.809072,-10.317732,1.853111
Gl 792,,,15.0602,12.591,7.22761,-9.297493,9.387646
Gl 378,,,15.0966,9.136,-8.784629,4.951779,11.234539
NN 3916,,,15.1035,10.375,-8.109596,-12.417672,-2.855097
Gl 815B,,,15.1035,11.005,8.176081,-8.169572,9.722424
Gl 55,Nu  Phe,,15.1149,4.073,10.023612,3.411601,-10.786636
NN 3069,,,15.1515,14.218,8.544805,2.369002,12.285849
GJ 1050,,,15.1515,10.848,9.610413,8.053202,-8.499639
NN 3213,,,15.1515,11.488,6.941399,8.068685,10.783378
NN 3235,,,15.1515,12.198,8.94552,12.161827,-1.278908
NN 3247,,,15.1515,13.798,8.388446,12.363855,-2.517345
GJ 2070,,,15.1515,11.828,-9.452895,11.837198,-0.302477
NN 3753,,,15.1515,11.408,-8.462794,-1.879616,12.426427
NN 3953,,,15.1515,11.338,-5.454341,-12.474747,6.648218
NN 4216,,,15.1515,11.908,12.53443,-8.37387,-1.527848
NN 4367,,,15.1515,12.548,14.928328,-0.617677,-2.516237
Gl 898,,,15.1561,7.687,14.403874,-1.716071,-4.392152
GJ 1021,,,15.1584,4.897,10.027401,2.02916,-11.185157
,,,15.1676,5.975,0.856775,6.243901,-13.796544
GJ 1081,,,15.1745,11.304,1.251467,10.690931,10.695947
GJ 1085,,,15.1768,5.064,0.753864,15.119563,-1.083709
Gl 759,31    Aql,,15.1768,4.264,5.379424,-13.838527,3.140845
,,,15.186,5.753,14.961169,1.138666,2.343333
Gl 40B,,,15.1953,16.391,13.643442,3.124548,-5.915306
Gl 288B,,,15.1999,15.681,-5.614055,11.294903,-8.482014
Gl 288A,,,15.2091,4.449,-5.594502,11.272064,-8.543229
Gl 599B,,,15.2439,11.865,-6.572508,-10.070783,-9.368004
Gl 648,19    Dra,,15.2579,3.963,-1.767632,-6.167324,13.843316
GJ 1006B,,,15.2672,12.301,14.322712,1.017798,5.187622
Gl 227,,,15.2718,5.841,-0.428441,14.707028,4.091997
Gl 815A,,,15.2905,9.198,8.277007,-8.270574,9.84271
GJ 1059,,,15.2905,14.408,7.186893,8.799344,10.233255
Gl 811.1,,,15.3163,10.454,10.500147,-10.799731,-2.77772
Gl 458B,,,15.3163,12.404,-8.883886,-0.479763,12.467375
GJ 1294A,,,15.328,8.313,5.67201,0.053101,-14.239841
GJ 1204,,,15.3374,12.871,-5.426307,-14.15176,2.349199
Gl 599A,,,15.3539,5.079,-6.619912,-10.143795,-9.435094
Gl 240,,,15.3563,8.679,-1.593362,9.73352,-11.770307
GJ 2021,,,15.3846,13.585,13.363309,4.169124,-6.381716
NN 3198,,,15.3846,11.905,10.014926,10.37751,-5.356721
NN 3233,,,15.3846,6.345,7.275942,9.684042,9.485038
NN 3279,,,15.3846,10.865,3.426308,7.536638,-12.96709
NN 3426,,,15.3846,12.465,-2.95366,9.71703,11.556001
NN 3503,,,15.3846,14.065,-9.281054,11.945324,-2.803066
NN 3720,,,15.3846,15.385,-13.31097,-1.091512,7.636268
GJ 1158,,,15.3846,12.335,-8.531052,-1.103086,-12.753344
NN 4185A,,,15.3846,11.745,10.072405,-8.749094,7.660675
NN 4186B,,,15.3846,12.555,10.071303,-8.750708,7.660281
NN 4306,,,15.3846,9.565,14.080132,-4.03984,4.702712
Gl 141,,,15.3917,6.924,9.592,11.950905,-1.438782
Gl 25A,,,15.4012,4.632,13.799451,2.268712,-6.452147
Gl 319A,,,15.4321,8.678,-9.920795,11.539875,2.562122
GJ 1062,,,15.4321,12.068,8.764191,12.316048,-3.071295
NN 3542,,,15.4321,14.168,-6.140093,5.253234,13.147339
Gl 188A,104    Tau,,15.4345,3.968,3.324007,14.241868,4.934537
NN 3781A,,,15.4488,6.116,-14.415009,-5.508346,0.734032
Gl 200A,,,15.4488,6.826,2.73122,15.183658,-0.828442
Gl 375,,,15.456,10.325,-9.193371,5.384446,-11.197758
Gl 731,,,15.4775,9.211,3.327566,-14.455552,4.417375
Gl 720B,,,15.4775,12.071,1.663604,-10.669038,11.0886
NN 3077A,,,15.4799,11.941,14.669633,4.761051,1.327243
NN 3078B,,,15.4799,12.961,14.669309,4.763299,1.322753
NN 3162,,,15.4799,14.811,11.799904,9.27229,-3.796603
NN 3121,,,15.4967,11.489,9.330583,4.963735,11.33433
Gl 316.1,,,15.5039,16.728,-9.480991,11.248636,4.893867
Gl 691,Mu  Ara,,15.5111,4.167,-0.662558,-9.561971,-12.19514
Gl 856A,,,15.5111,9.747,11.944331,-5.350155,8.324843
Gl 458A,,,15.5207,8.755,-9.002884,-0.485516,12.633273
Gl 760,30Del Aql,,15.5255,2.405,5.650026,-14.436012,0.843584
Gl 157A,,,15.528,7.114,7.909894,13.358713,-0.314208
Gl 25B,,,15.5328,5.444,13.91838,2.288611,-6.507579
Gl 720A,,,15.5473,8.882,1.664836,-10.72123,11.135233
,,,15.5473,10.572,8.784956,-11.008198,6.586533
Gl 808,,,15.5521,10.891,1.965023,-2.111121,-15.284154
,,,15.5569,7.96,-8.453496,-12.137673,-4.820005
,,,15.5618,8.96,5.094198,-8.596462,-11.929778
Gl 156,,,15.5666,8.059,8.042154,13.199902,-1.850232
Gl 278A,66Alp Gem,Castor,15.5958,0.615,-5.311938,12.130011,8.238737
Gl 527B,,,15.5958,10.035,-13.277795,-6.711405,4.678267
Gl 882,51    Peg,,15.6079,4.483,14.053522,-3.93265,5.534429
Gl 507B,,,15.6104,11.063,-12.00834,-4.345675,8.977588
Gl 782,,,15.6152,7.942,7.876695,-12.325182,-5.466942
Gl 527A,4Tau Boo,,15.6177,3.532,-13.296143,-6.720908,4.685085
GJ 1014,,,15.625,14.351,15.176218,2.398174,2.841095
NN 3296,,,15.625,13.631,5.380482,13.585147,5.534875
NN 3404A,,,15.625,11.091,-2.854073,15.331111,0.975661
NN 3405B,,,15.625,12.361,-2.857396,15.330291,0.97882
NN 3654,,,15.625,12.731,-13.555335,2.596226,-7.324831
NN 3685A,,,15.625,12.281,-15.602272,0.839602,0.069357
NN 3686B,,,15.625,16.631,-15.602337,0.838468,0.068447
NN 3815,,,15.625,14.721,-5.42054,-2.907698,14.363276
Gl 626.2,,,15.625,12.881,-4.869412,-11.531398,9.353858
NN 4069,,,15.625,12.451,2.170981,-11.823748,9.981304
Gl 40A,,,15.6348,7.98,14.038591,3.213138,-6.086459
Gl 704A,99    Her,,15.6421,4.079,0.412832,-13.462756,7.953585
Gl 492,,,15.6495,14.817,-15.085761,-4.052893,0.949078
GJ 1175,,,15.6544,5.947,-11.671902,-5.509155,-8.858677
Gl 704B,,,15.6544,7.477,0.413521,-13.473534,7.959466
GJ 1037,,,15.674,12.844,14.190357,5.024761,4.365756
NN 3666,,,15.674,11.584,-15.285776,2.084893,2.769941
,,,15.6937,8.981,-5.125546,12.55097,-7.905325
GJ 1010B,,,15.6986,13.021,3.462071,0.356392,15.307942
Gl 619,,,15.7183,8.008,-4.975073,-10.776797,10.304192
Gl 421C,,,15.7233,12.657,-14.66008,2.898633,-4.89194
,,,15.7332,8.026,13.960292,-0.968687,-7.190652
Gl 397,,,15.7356,7.866,-10.210747,4.15635,11.22859
Gl 246,,,15.7406,11.075,-2.576389,12.217068,9.586163
NN 4312,,,15.748,11.464,5.579042,-1.301233,14.669036
Gl 37,19Phi2Cet,,15.753,4.183,15.113168,3.359263,-2.909778
NN 3563,,,15.7555,10.953,-12.2815,8.394011,-5.190482
Gl 125,,,15.7604,9.122,7.449241,8.094836,11.285833
Gl 758,,,15.7604,5.382,4.701552,-12.31749,8.63477
Gl 778,,,15.7654,6.291,7.448189,-12.411958,6.246207
Gl 750B,,,15.7654,9.111,3.605054,-10.363874,-11.319962
Gl 157B,,,15.7704,10.621,8.033704,13.567837,-0.318598
,,,15.7828,10.189,-3.334739,-11.786578,-9.952532
Gl 802,,,15.7978,13.687,5.871867,-6.795771,12.995078
Gl 278B,66Alp Gem,,15.8053,1.856,-5.383676,12.292323,8.349873
Gl 278C,,,15.8053,8.076,-5.385572,12.29467,8.345127
Gl 433.1,,,15.8078,11.496,-13.649016,1.369265,7.855955
Gl 32A,,,15.8178,6.894,11.537178,2.33703,-10.565376
Gl 781,,,15.8303,10.983,4.777451,-7.870172,12.876056
Gl 557,28Sig Boo,,15.8328,3.472,-10.732826,-8.589414,7.855332
,,,15.8453,5.92,-10.395173,-11.956814,0.220229
NN 4129,,,15.8479,10.95,7.814657,-13.775734,0.562362
Gl 462,,,15.8529,8.359,-11.702644,-1.121747,10.635254
Gl 777A,,,15.8579,4.729,7.060984,-11.795308,7.903998
Gl 889.1,,,15.8579,9.899,15.427469,-3.553485,0.920871
Gl 496.1,,,15.8655,8.048,-9.285181,-2.704535,-12.577587
Gl 188B,,,15.868,4.697,3.416956,14.641592,5.073618
NN 3218,,,15.873,10.367,10.039098,12.155922,-1.844504
NN 3261,,,15.873,11.887,7.557442,13.867702,1.588717
NN 3294,,,15.873,13.567,5.768745,13.996361,4.772379
NN 3320,,,15.873,10.507,3.650927,13.929877,6.676928
NN 3492,,,15.873,10.847,-2.092422,3.172723,-15.411286
NN 3625,,,15.873,12.447,-2.75988,0.895306,-15.605564
NN 3690B,,,15.873,13.997,-15.622229,0.524948,2.760893
Gl 461A,,,15.873,9.097,-15.809357,-1.413108,0.161748
GJ 1167A,,,15.873,13.177,-13.249999,-4.150827,7.691572
Gl 708.3,,,15.873,11.517,1.128216,-15.827248,0.421305
NN 4102,,,15.873,11.697,0.70374,-1.92993,-15.739513
NN 4262,,,15.873,11.137,14.104563,-7.246841,-0.704802
GJ 1268,,,15.873,13.937,8.942449,-3.937717,12.509162
NN 4292,,,15.873,13.997,13.888832,-4.82413,5.981659
NN 4319,,,15.873,12.137,15.475483,-2.998042,1.86368
NN 4355,,,15.873,12.257,15.66321,-1.449902,-2.124561
Gl 637,,,15.8806,10.356,-1.428845,-4.424302,-15.184523
Gl 3,,,15.8881,7.485,5.993342,0.138488,-14.714076
Gl 430.1,,,15.8932,9.304,-14.554072,1.804859,6.124854
Gl 602,1Chi Her,,15.8932,3.594,-6.184702,-9.962833,10.727031
Gl 777B,,,15.8932,13.364,7.069471,-11.83116,7.914034
NN 3463,,,15.9236,13.74,-7.432398,13.998168,1.540066
GJ 1169,,,15.9236,12.25,-13.297522,-4.615074,7.443924
Gl 207.1,,,15.9363,10.518,1.82052,15.822925,0.540998
Gl 841A,,,15.9719,9.343,8.652443,-5.112619,-12.413516
GJ 1120A,,,15.9744,7.653,-10.95819,10.835398,4.205979
Gl 421A,,,15.9923,9,-14.909199,2.943565,-4.980594
Gl 838,,,15.9949,4.55,9.103246,-5.896903,-11.755527
NN 3366,,,16,13.519,0.893593,15.908964,-1.451331
GJ 1254,,,16,11.499,4.705291,-5.932707,14.093111
Gl 112.1,,,16.0102,7.568,11.725605,10.400234,3.267271
Gl 263,,,16.0231,9.926,-4.361774,15.137705,-2.922259
Gl 32B,,,16.0231,8.036,11.686146,2.367232,-10.702004
NN 3232,,,16.0256,9.766,9.135909,11.960551,5.507571
Gl 152,,,16.0282,5.966,7.028771,10.43559,-9.930118
Gl 372,,,16.0436,9.503,-13.621639,8.413195,-1.032567
Gl 508.2,,,16.0436,9.593,-12.438011,-4.586621,9.036
Gl 548B,,,16.0488,8.953,-11.828627,-8.734969,6.430405
Gl 862,,,16.0617,6.621,12.831293,-5.363897,-8.035352
Gl 332A,,,16.0694,2.93,-8.496677,8.449391,10.707365
,,,16.0772,10.219,13.530328,-5.329198,-6.856109
Gl 579,,,16.0772,9.059,-9.968438,-10.633576,6.776375
NN 3972,,,16.0823,10.708,-4.878777,-14.629722,4.561703
Gl 856B,,,16.0823,10.568,12.384308,-5.547349,8.631118
Gl 891,,,16.0849,10.238,14.126141,-3.114725,-7.033821
Gl 750A,,,16.0979,8.346,3.680929,-10.582772,-11.558006
GJ 1174,,,16.1031,11.725,-10.533571,-4.920992,11.138601
Gl 734A,,,16.1031,8.405,3.751056,-15.355827,3.064941
Gl 734B,,,16.1031,11.265,3.751375,-15.357134,3.065202
,,,16.129,10.552,8.815285,13.495454,-0.555074
GJ 2010,,,16.129,13.492,14.867836,2.449012,-5.752778
GJ 1033,,,16.129,13.122,14.101712,4.678785,-6.276568
NN 3183,,,16.129,12.922,10.275121,9.56711,7.939579
NN 3223,,,16.129,15.082,10.08065,12.580265,-0.511931
NN 3455,,,16.129,11.412,-4.053308,9.085985,-12.69489
GJ 1118,,,16.129,12.762,-9.716045,9.793298,-8.361633
NN 3540,,,16.129,11.252,-10.594398,9.534857,7.549164
NN 3573,,,16.129,13.162,-12.773795,7.641466,6.211508
NN 3702,,,16.129,12.962,-13.521206,-0.233962,-8.790159
GJ 1161B,,,16.129,10.872,-13.067981,-2.047772,-9.229255
NN 3764,,,16.129,11.822,-11.768287,-3.672709,-10.400159
NN 3813,,,16.129,10.592,-13.772845,-7.370406,4.01628
NN 3884,,,16.129,11.692,-11.257409,-11.374144,2.011027
NN 3910,,,16.129,13.262,-8.506697,-11.27869,7.782797
NN 3945,,,16.129,11.922,-6.304351,-12.693929,-7.698309
GJ 1226,,,16.129,11.672,1.472545,-16.061465,-0.29681
NN 4198,,,16.129,12.152,9.724578,-7.406028,-10.522738
GJ 1269B,,,16.129,9.062,14.512292,-6.150574,3.421761
Gl 676B,,,16.1342,12.271,-1.295745,-9.929569,-12.650578
NN 3782B,,,16.1421,6.31,-15.060939,-5.757294,0.767511
Gl 165A,,,16.1551,12.628,4.61553,9.173809,12.470981
Gl 472,,,16.176,6.086,-5.79868,-0.854286,-15.076756
GJ 1183A,,,16.1812,12.905,-12.925841,-9.733579,-0.106264
GJ 1183B,,,16.1812,12.985,-12.925137,-9.73452,-0.10579
GJ 1136A,,,16.1838,9.145,-12.239524,4.342422,-9.65675
Gl 844,,,16.1838,9.605,13.501678,-7.653087,4.587594
Gl 294B,,,16.1917,8.834,-3.948324,6.984045,-14.064317
Gl 294C,,,16.1917,12.454,-3.948324,6.984045,-14.064317
NN 4079,,,16.1943,9.693,1.657138,-7.406914,-14.305485
GJ 1284,,,16.2022,10.042,15.058924,-1.967576,-5.64524
Gl 294A,,,16.2048,4.542,-3.946583,6.991075,-14.07654
Gl 366,,,16.2127,9.591,-3.268155,2.146611,15.733874
GJ 1036,,,16.2127,10.261,12.422589,4.353786,-9.464432
Gl 826.1,,,16.2206,8.04,11.697208,-9.795105,-5.508505
Gl 391,,,16.2232,2.939,-4.080371,1.808276,-15.597165
Gl 841B,,,16.2259,13.629,8.771023,-5.225178,-12.611365
GJ 1026A,,,16.2285,10.309,14.663841,4.151931,5.576508
GJ 1013,,,16.2338,11.698,15.99545,2.21932,-1.660261
Gl 347A,,,16.239,11.047,-12.729171,9.865865,-2.083385
Gl 156.2,,,16.2496,7.146,1.924127,3.377703,15.777964
Gl 872B,,,16.2496,10.646,15.0783,-4.994172,3.426459
Gl 699.1,,,16.2602,13.244,-0.090176,-2.041492,16.123351
GJ 1133,,,16.2866,13.651,-6.636996,2.984289,14.570438
Gl 405,,,16.2866,11.661,-8.745196,2.512854,13.507792
Gl 377,,,16.2893,10.37,-12.205047,6.963117,-8.240791
Gl 872A,46Xi  Peg,,16.2973,3.139,15.122785,-5.009216,3.436474
GJ 1006A,,,16.3079,10.728,15.299442,1.086202,5.540292
Gl 181,,,16.3106,8.738,2.773224,10.14466,12.466791
NN 3836,,,16.3132,10.537,-9.580919,-6.418224,11.538322
GJ 1264,,,16.3159,8.467,4.218226,-2.710722,-15.526337
GJ 1135,,,16.3372,8.904,-12.299822,4.406673,-9.808145
Gl 16,,,16.3372,9.814,16.027761,1.280869,2.89385
,,,16.3372,10.284,1.058387,16.090298,2.623846
Gl 73,,,16.3399,13.044,14.063738,6.932347,4.598498
Gl 607,,,16.3399,11.444,-6.970442,-12.285995,8.214407
Gl 678A,,,16.3425,4.243,-2.10463,-16.202881,-0.303147
Gl 828.2,,,16.3452,10.023,12.756994,-10.031474,-1.94788
Gl 719,,,16.3532,7.132,1.494369,-10.020127,12.836818
Gl 724,,,16.3532,9.562,2.827902,-15.655999,-3.784157
Gl 548A,,,16.3639,8.701,-12.063243,-8.903918,6.555773
GJ 1011,,,16.3666,13.2,14.838046,1.524148,6.736094
GJ 2147,,,16.3693,11.11,7.649307,-11.898178,-8.238654
Gl 824,,,16.3881,6.807,12.227284,-10.578434,2.674834
Gl 225.2A,,,16.3934,6.777,-0.019968,14.048419,-8.450735
NN 3015B,,,16.3934,16.327,2.654243,0.159466,16.176313
NN 3105,,,16.3934,12.837,12.621315,5.903795,8.636618
NN 3180,,,16.3934,14.787,12.220171,10.834203,-1.425172
NN 3243,,,16.3934,10.877,3.41444,4.797266,-15.299392
NN 3566,,,16.3934,13.077,-13.635435,9.012012,-1.265756
NN 3758,,,16.3934,11.467,-15.757132,-4.227206,-1.608437
NN 3808,,,16.3934,13.267,-14.54303,-7.474619,1.172142
Gl 552.1,,,16.3934,10.557,-7.601156,-5.883222,-13.279823
NN 3871,,,16.3934,10.537,-11.687509,-10.943941,3.517931
NN 3929,,,16.3934,11.617,-6.765607,-11.522165,9.497887
Gl 560B,,,16.4015,7.396,-5.266282,-4.516764,-14.862237
Gl 272,,,16.4096,9.485,-4.043664,10.638265,11.821259
Gl 332B,,,16.4312,5.102,-8.687958,8.639195,10.948426
Gl 620,,,16.4393,9.151,-6.126134,-13.61972,-6.871993
Gl 399,,,16.4474,10.2,-15.334882,5.605998,-1.982709
NN 3553,,,16.4474,12.25,-12.622449,10.500307,0.966598
Gl 678B,,,16.4474,5.12,-2.118168,-16.303767,-0.305548
Gl 676A,,,16.4501,8.499,-1.324356,-10.123209,-12.898237
Gl 238,,,16.4555,10.538,-1.263627,8.49749,-14.034767
Gl 21,,,16.4772,9.436,5.558583,0.654911,15.497463
Gl 298,,,16.4799,10.655,-5.331844,8.371938,-13.156529
NN 3860,,,16.5017,6.392,-12.638609,-10.235397,2.793544
Gl 291A,9    Pup,,16.5044,4.072,-7.50733,14.153226,-3.964222
